"capability_id","domain_id","domain","layer","capability_order","capability","kind","primary_agent_id","release_wave","mvp_64","status"
"GNC-D01-C01","D01","Variant Identity & Intake","Data foundation","1","Case manifest ingestion","Data integration","A07","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C02","D01","Variant Identity & Intake","Data foundation","2","VCF/BCF/gVCF parser","Data integration","A08","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C03","D01","Variant Identity & Intake","Data foundation","3","Regulatory track parser","Data integration","A14","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C04","D01","Variant Identity & Intake","Data foundation","4","GA4GH VRS 2 normalization","Identity and harmonization","A48","W1 — end-to-end MVP","yes","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C05","D01","Variant Identity & Intake","Data foundation","5","Cat-VRS categorical normalization","Identity and harmonization","A07","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C06","D01","Variant Identity & Intake","Data foundation","6","VA-Spec annotation envelope builder","Scientific inference","A08","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C07","D01","Variant Identity & Intake","Data foundation","7","Multi-allelic decomposition","Scientific inference","A14","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C08","D01","Variant Identity & Intake","Data foundation","8","Repeat-aware variant normalization","Identity and harmonization","A48","W2 — scientific beta","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C09","D01","Variant Identity & Intake","Data foundation","9","Variant equivalence resolver","Identity and harmonization","A07","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C10","D01","Variant Identity & Intake","Data foundation","10","Duplicate and alias reconciliation","Identity and harmonization","A08","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C11","D01","Variant Identity & Intake","Data foundation","11","Batch and sample identity checker","Scientific inference","A14","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
"GNC-D01-C12","D01","Variant Identity & Intake","Data foundation","12","Chain-of-custody capture","Scientific inference","A48","W3 — external alpha","no","Specified in rebuild; implementation and validation not claimed"
